tender_id,tender_title,department,procurement_authority,category,location,state,state_code,district,tender_date,closing_date,award_date,estimated_value,awarded_value,bidder_count,winning_vendor_id,winning_vendor_name,contract_id,contract_duration,expected_completion,actual_completion,completion_delay_days,payment_amount,status,intended_tier
TND-2026-00026,"Procurement of Police Patrol Utility Vehicles with GPS Equipment, Lucknow",Urban Transport Corporation,Uttar Pradesh Urban Transport Corporation,Vehicles,"Lucknow, Uttar Pradesh",Uttar Pradesh,IN-UP,Lucknow,2025-12-06T00:00:00.000Z,2026-01-14T00:00:00.000Z,2026-02-06T00:00:00.000Z,4160788,4650280,3,V-1017,Kaveri Civil Infrastructure,CNT-00026,222,2026-09-16T00:00:00.000Z,,0,4349578,In Progress,MEDIUM
TND-2026-00027,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, Varanasi",Water Resources & Irrigation Dept,Uttar Pradesh Water Resources & Irrigation Dept,Maintenance Services,"Varanasi, Uttar Pradesh",Uttar Pradesh,IN-UP,Varanasi,2025-12-08T00:00:00.000Z,2026-01-04T00:00:00.000Z,2026-01-19T00:00:00.000Z,1094630,1144730,7,V-1009,Drona Advisory Partners,CNT-00027,264,2026-10-10T00:00:00.000Z,2026-10-10T00:00:00.000Z,0,1092518,Completed,LOW
TND-2026-00028,"Provisioning of Campus Wi-Fi Networking Switches and Access Points, Prayagraj",Department of School Education,Uttar Pradesh Department of School Education,IT Equipment,"Prayagraj, Uttar Pradesh",Uttar Pradesh,IN-UP,Prayagraj,2025-11-05T00:00:00.000Z,2025-12-20T00:00:00.000Z,2026-01-11T00:00:00.000Z,1472901,1503540,4,V-1042,V-1042 Enterprise Logistics,CNT-00028,260,2026-09-28T00:00:00.000Z,2026-09-28T00:00:00.000Z,0,1367657,Completed,LOW
TND-2026-00029,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, New Delhi",Water Resources & Irrigation Dept,Delhi Water Resources & Irrigation Dept,Maintenance Services,"New Delhi, Delhi",Delhi,IN-DL,New Delhi,2025-10-02T00:00:00.000Z,2025-11-03T00:00:00.000Z,2025-11-24T00:00:00.000Z,1222189,1139256,6,V-1026,Prerna Facility Services,CNT-00029,218,2026-06-30T00:00:00.000Z,2026-06-30T00:00:00.000Z,0,1084055,Completed,LOW
TND-2026-00030,"Construction of Bituminous Concrete Road with Drainage Culverts, Bhagalpur",Rural Development Authority,Bihar Rural Development Authority,Road & Infrastructure,"Bhagalpur, Bihar",Bihar,IN-BR,Bhagalpur,2025-07-03T00:00:00.000Z,2025-07-30T00:00:00.000Z,2025-08-29T00:00:00.000Z,5857465,9327683,6,V-1008,Setu Engineering Works,CNT-00030,257,2026-05-13T00:00:00.000Z,,0,8984546,In Progress,MEDIUM
TND-2026-00031,"Widening and Strengthening of Major District Arterial Road, Ahmedabad",Public Works Department,Gujarat Public Works Department,Road & Infrastructure,"Ahmedabad, Gujarat",Gujarat,IN-GJ,Ahmedabad,2025-07-08T00:00:00.000Z,2025-08-13T00:00:00.000Z,2025-09-04T00:00:00.000Z,9086845,8660973,5,V-1026,Prerna Facility Services,CNT-00031,340,2026-08-10T00:00:00.000Z,,0,7841112,In Progress,LOW
TND-2026-00032,"Procurement of Portable Ultrasound Doppler Scanning Machines, Panipat",Health & Family Welfare Directorate,Haryana Health & Family Welfare Directorate,Medical Equipment,"Panipat, Haryana",Haryana,IN-HR,Panipat,2025-06-16T00:00:00.000Z,2025-07-29T00:00:00.000Z,2025-08-17T00:00:00.000Z,4039561,4044328,2,V-1023,Unnati Medical Technologies,CNT-00032,264,2026-05-08T00:00:00.000Z,,55,3744152,In Progress,HIGH
TND-2026-00033,"Pavement Quality Concrete (PQC) Laying and Junction Improvement, Hisar",Water Resources & Irrigation Dept,Haryana Water Resources & Irrigation Dept,Road & Infrastructure,"Hisar, Haryana",Haryana,IN-HR,Hisar,2025-04-19T00:00:00.000Z,2025-05-25T00:00:00.000Z,2025-06-10T00:00:00.000Z,10563090,10755933,8,V-1006,Kavach Security Solutions,CNT-00033,166,2025-11-23T00:00:00.000Z,,0,10048375,In Progress,LOW
TND-2026-00034,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, Gaya",Municipal Administration Directorate,Bihar Municipal Administration Directorate,Maintenance Services,"Gaya, Bihar",Bihar,IN-BR,Gaya,2025-11-04T00:00:00.000Z,2025-12-13T00:00:00.000Z,2026-01-06T00:00:00.000Z,614667,571562,4,V-2187,V-2187 Logistics & Transport,CNT-00034,118,2026-05-04T00:00:00.000Z,2026-05-04T00:00:00.000Z,0,521139,Completed,LOW
TND-2026-00035,"Construction of Bituminous Concrete Road with Drainage Culverts, Bikaner",Water Resources & Irrigation Dept,Rajasthan Water Resources & Irrigation Dept,Road & Infrastructure,"Bikaner, Rajasthan",Rajasthan,IN-RJ,Bikaner,2026-01-10T00:00:00.000Z,2026-02-18T00:00:00.000Z,2026-03-11T00:00:00.000Z,7505150,7498674,7,V-1008,Setu Engineering Works,CNT-00035,179,2026-09-06T00:00:00.000Z,2026-09-06T00:00:00.000Z,0,7657316,Completed,LOW
TND-2026-00036,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, Amritsar",Power & Energy Transmission Board,Punjab Power & Energy Transmission Board,Maintenance Services,"Amritsar, Punjab",Punjab,IN-PB,Amritsar,2025-08-05T00:00:00.000Z,2025-09-08T00:00:00.000Z,2025-10-03T00:00:00.000Z,933648,923757,5,V-1025,Sujal Hydraulics & Water Tech,CNT-00036,293,2026-07-23T00:00:00.000Z,2026-07-23T00:00:00.000Z,0,898484,Completed,LOW
TND-2026-00037,"Supply of Electric Waste Collection Tipper Vehicles for Municipal Body, Belagavi",Police Housing & Logistics Dept,Karnataka Police Housing & Logistics Dept,Vehicles,"Belagavi, Karnataka",Karnataka,IN-KA,Belagavi,2025-08-09T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-18T00:00:00.000Z,4348316,4597114,4,V-1006,Kavach Security Solutions,CNT-00037,140,2026-02-05T00:00:00.000Z,,0,4383072,In Progress,MEDIUM
TND-2026-00038,"Annual Routine Maintenance of Municipal Asphalt Road Corridors, Ernakulam",Water Resources & Irrigation Dept,Kerala Water Resources & Irrigation Dept,Maintenance Services,"Ernakulam, Kerala",Kerala,IN-KL,Ernakulam,2025-08-09T00:00:00.000Z,2025-09-12T00:00:00.000Z,2025-09-28T00:00:00.000Z,792050,726696,7,V-1025,Sujal Hydraulics & Water Tech,CNT-00038,212,2026-04-28T00:00:00.000Z,2026-04-28T00:00:00.000Z,0,716941,Completed,LOW
TND-2026-00039,"Maintenance and Operation of Water Treatment and RO Filtration Plants, Darbhanga",Water Resources & Irrigation Dept,Bihar Water Resources & Irrigation Dept,Maintenance Services,"Darbhanga, Bihar",Bihar,IN-BR,Darbhanga,2025-08-15T00:00:00.000Z,2025-09-06T00:00:00.000Z,2025-09-20T00:00:00.000Z,547396,531680,6,V-1025,Sujal Hydraulics & Water Tech,CNT-00039,160,2026-02-27T00:00:00.000Z,2026-02-27T00:00:00.000Z,0,511526,Completed,LOW
TND-2026-00040,"Supply and Commissioning of Enterprise Server Racks and UPS Units, Gorakhpur",Information Technology & e-Gov Directorate,Uttar Pradesh Information Technology & e-Gov Directorate,IT Equipment,"Gorakhpur, Uttar Pradesh",Uttar Pradesh,IN-UP,Gorakhpur,2025-09-18T00:00:00.000Z,2025-11-01T00:00:00.000Z,2025-11-27T00:00:00.000Z,1807022,1793390,6,V-1034,Suryodaya Clean Energy,CNT-00040,317,2026-10-10T00:00:00.000Z,,0,1804518,In Progress,LOW
TND-2026-00041,"Supply of Electric Waste Collection Tipper Vehicles for Municipal Body, Kozhikode",Municipal Administration Directorate,Kerala Municipal Administration Directorate,Vehicles,"Kozhikode, Kerala",Kerala,IN-KL,Kozhikode,2025-08-04T00:00:00.000Z,2025-09-01T00:00:00.000Z,2025-09-28T00:00:00.000Z,3995904,3888055,3,V-1011,Sankalp Facilities Management,CNT-00041,240,2026-05-26T00:00:00.000Z,,0,3578370,In Progress,LOW
TND-2026-00042,"Supply of Heavy Fire-Fighting Water Tender Trucks, Prayagraj",Police Housing & Logistics Dept,Uttar Pradesh Police Housing & Logistics Dept,Vehicles,"Prayagraj, Uttar Pradesh",Uttar Pradesh,IN-UP,Prayagraj,2025-06-30T00:00:00.000Z,2025-08-11T00:00:00.000Z,2025-08-28T00:00:00.000Z,5344008,5252270,3,V-1019,Chetna Lab Tech,CNT-00042,175,2026-02-19T00:00:00.000Z,,0,4792227,In Progress,HIGH
TND-2026-00043,"Supply of Energy Efficient Substation Switchgear and Breakers, Gorakhpur",Power & Energy Transmission Board,Uttar Pradesh Power & Energy Transmission Board,Electrical Equipment,"Gorakhpur, Uttar Pradesh",Uttar Pradesh,IN-UP,Gorakhpur,2025-05-14T00:00:00.000Z,2025-06-13T00:00:00.000Z,2025-07-12T00:00:00.000Z,2135822,2128757,6,V-1036,Himalaya Road Network Corp,CNT-00043,322,2026-05-30T00:00:00.000Z,,0,2073935,In Progress,LOW
TND-2026-00044,"Preventive Maintenance of HT Substations and Generator Sets, Thiruvananthapuram",Water Resources & Irrigation Dept,Kerala Water Resources & Irrigation Dept,Maintenance Services,"Thiruvananthapuram, Kerala",Kerala,IN-KL,Thiruvananthapuram,2025-08-02T00:00:00.000Z,2025-08-31T00:00:00.000Z,2025-09-20T00:00:00.000Z,886379,1068981,3,V-1025,Sujal Hydraulics & Water Tech,CNT-00044,296,2026-07-13T00:00:00.000Z,,0,1027600,In Progress,MEDIUM
TND-2026-00045,"Procurement of High-Performance Desktop Workstations and Peripherals, Jodhpur",Department of School Education,Rajasthan Department of School Education,IT Equipment,"Jodhpur, Rajasthan",Rajasthan,IN-RJ,Jodhpur,2025-11-22T00:00:00.000Z,2025-12-14T00:00:00.000Z,2026-01-10T00:00:00.000Z,1755256,3036674,2,V-2187,V-2187 Logistics & Transport,CNT-00045,311,2026-11-17T00:00:00.000Z,,73,3425326,Delayed,CRITICAL
TND-2026-00046,"Supply of Heavy Fire-Fighting Water Tender Trucks, Jabalpur",Urban Transport Corporation,Madhya Pradesh Urban Transport Corporation,Vehicles,"Jabalpur, Madhya Pradesh",Madhya Pradesh,IN-MP,Jabalpur,2026-01-20T00:00:00.000Z,2026-03-04T00:00:00.000Z,2026-03-27T00:00:00.000Z,4180696,3802177,5,V-1004,Pinnacle Medical Supplies,CNT-00046,129,2026-08-03T00:00:00.000Z,,0,3371915,In Progress,LOW
TND-2026-00047,"Third-Party Quality Assurance & Technical Audit Inspection Services, Ernakulam",Power & Energy Transmission Board,Kerala Power & Energy Transmission Board,Consulting Services,"Ernakulam, Kerala",Kerala,IN-KL,Ernakulam,2025-12-02T00:00:00.000Z,2026-01-09T00:00:00.000Z,2026-01-29T00:00:00.000Z,1361908,1886047,3,V-1014,Vanguard Highway Builders,CNT-00047,237,2026-09-23T00:00:00.000Z,,0,1704702,In Progress,MEDIUM
TND-2026-00048,"Comprehensive Annual Maintenance Contract (CAMC) for Hospital Chillers, Thane",Public Works Department,Maharashtra Public Works Department,Maintenance Services,"Thane, Maharashtra",Maharashtra,IN-MH,Thane,2025-06-14T00:00:00.000Z,2025-07-25T00:00:00.000Z,2025-08-17T00:00:00.000Z,896469,1144551,6,V-1012,Pragati Energy Grid Ltd,CNT-00048,363,2026-08-15T00:00:00.000Z,,0,1076181,In Progress,MEDIUM
TND-2026-00049,"Annual Rate Contract for Secretariat Stationery and Printing Items, Tumakuru",Municipal Administration Directorate,Karnataka Municipal Administration Directorate,Office Supplies,"Tumakuru, Karnataka",Karnataka,IN-KA,Tumakuru,2025-09-06T00:00:00.000Z,2025-10-07T00:00:00.000Z,2025-10-30T00:00:00.000Z,402948,515463,6,V-1019,Chetna Lab Tech,CNT-00049,363,2026-10-28T00:00:00.000Z,2026-10-28T00:00:00.000Z,0,478930,Completed,MEDIUM
TND-2026-00050,"Supply and Commissioning of Enterprise Server Racks and UPS Units, Nagpur",Police Housing & Logistics Dept,Maharashtra Police Housing & Logistics Dept,IT Equipment,"Nagpur, Maharashtra",Maharashtra,IN-MH,Nagpur,2025-04-15T00:00:00.000Z,2025-05-16T00:00:00.000Z,2025-06-05T00:00:00.000Z,1458883,1427530,7,V-1015,CyberShield Systems,CNT-00050,308,2026-04-09T00:00:00.000Z,,0,1304009,In Progress,LOW
TND-2026-00051,"Maintenance and Operation of Water Treatment and RO Filtration Plants, Bilaspur",Urban Transport Corporation,Chhattisgarh Urban Transport Corporation,Maintenance Services,"Bilaspur, Chhattisgarh",Chhattisgarh,IN-CT,Bilaspur,2026-01-18T00:00:00.000Z,2026-02-27T00:00:00.000Z,2026-03-18T00:00:00.000Z,981411,996017,6,V-1034,Suryodaya Clean Energy,CNT-00051,162,2026-08-27T00:00:00.000Z,2026-08-27T00:00:00.000Z,0,939542,Completed,LOW
TND-2026-00052,"Supply of Intensive Care Ventilator Units and Patient Monitors, Thiruvananthapuram",Health & Family Welfare Directorate,Kerala Health & Family Welfare Directorate,Medical Equipment,"Thiruvananthapuram, Kerala",Kerala,IN-KL,Thiruvananthapuram,2025-05-04T00:00:00.000Z,2025-05-28T00:00:00.000Z,2025-06-27T00:00:00.000Z,3978004,3995802,3,V-1001,Apex Infra Build Ltd,CNT-00052,141,2025-11-15T00:00:00.000Z,,17,3674868,In Progress,LOW
TND-2026-00053,"Pavement Quality Concrete (PQC) Laying and Junction Improvement, Thrissur",Public Works Department,Kerala Public Works Department,Road & Infrastructure,"Thrissur, Kerala",Kerala,IN-KL,Thrissur,2025-10-18T00:00:00.000Z,2025-11-16T00:00:00.000Z,2025-12-11T00:00:00.000Z,11165402,10171465,8,V-1036,Himalaya Road Network Corp,CNT-00053,246,2026-08-14T00:00:00.000Z,,0,9725355,In Progress,MEDIUM
TND-2026-00054,"Procurement of High-Resolution Gas Chromatography Mass Spectrometer, Bengaluru Urban",Health & Family Welfare Directorate,Karnataka Health & Family Welfare Directorate,Laboratory Equipment,"Bengaluru Urban, Karnataka",Karnataka,IN-KA,Bengaluru Urban,2025-12-23T00:00:00.000Z,2026-01-27T00:00:00.000Z,2026-02-10T00:00:00.000Z,1941277,1959452,3,V-1027,Utkarsh Scientific Apparatus,CNT-00054,263,2026-10-31T00:00:00.000Z,,2,1852648,In Progress,LOW
TND-2026-00055,"Underground HT Cable Laying and Ring Main Unit (RMU) Automation, Muzaffarpur",Power & Energy Transmission Board,Bihar Power & Energy Transmission Board,Electrical Equipment,"Muzaffarpur, Bihar",Bihar,IN-BR,Muzaffarpur,2025-04-26T00:00:00.000Z,2025-05-25T00:00:00.000Z,2025-06-17T00:00:00.000Z,2067353,2102525,5,V-1034,Suryodaya Clean Energy,CNT-00055,92,2025-09-17T00:00:00.000Z,2025-09-17T00:00:00.000Z,0,1992856,Completed,LOW
TND-2026-00056,"Bulk Supply of Administrative Paper Reams, Toners, and Consumables, Gurugram",Municipal Administration Directorate,Haryana Municipal Administration Directorate,Office Supplies,"Gurugram, Haryana",Haryana,IN-HR,Gurugram,2025-12-24T00:00:00.000Z,2026-01-17T00:00:00.000Z,2026-01-31T00:00:00.000Z,386148,388242,6,V-1032,Tricolor Paper & Stationery,CNT-00056,226,2026-09-14T00:00:00.000Z,,0,367771,In Progress,LOW
TND-2026-00057,"Procurement of Advanced Life Support (ALS) Ambulance Vehicles, Madurai",Police Housing & Logistics Dept,Tamil Nadu Police Housing & Logistics Dept,Vehicles,"Madurai, Tamil Nadu",Tamil Nadu,IN-TN,Madurai,2025-12-29T00:00:00.000Z,2026-02-02T00:00:00.000Z,2026-02-28T00:00:00.000Z,4659831,4391518,2,V-1016,Metro Transit Supplies,CNT-00057,146,2026-07-24T00:00:00.000Z,,0,3797821,In Progress,LOW
