work_id,description,state,state_code,district,constituency,mp_name,agency,category,estimated_cost,sanctioned_amount,expenditure,utilization,cost_deviation,expected_days,actual_days,delayed,delay_days,sanction_date,expected_completion,actual_completion,status,duplicate_candidate,signals,primary_signal,risk_score,risk_tier
W-10017,"Construction of community health sub-centre, Phase II",Karnataka,IN-KA,Mysuru,Mysuru (PC-34),Hon'ble MP — Mysuru PC,Pragati Construction Cell,Health,1311000,1428000,1337000,93.6,-2,350,350,False,0,2025-06-03T00:00:00.000Z,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,26,LOW
W-10018,"Boundary wall construction for school campus, Phase II",Uttar Pradesh,IN-UP,Kanpur Nagar,Kanpur Nagar (PC-20),Hon'ble MP — Kanpur Nagar PC,Nirman Urban Works Agency,Education,483000,563000,523000,92.9,-37,264,264,False,0,2025-05-04T00:00:00.000Z,2026-01-23T00:00:00.000Z,2026-01-23T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,27,LOW
W-10019,"Installation of public address and CCTV system, Gram Panchayat",Kerala,IN-KL,Kozhikode,Kozhikode (PC-27),Hon'ble MP — Kozhikode PC,Aadhar Works Agency,Other,540000,595000,405000,68.1,-7,245,245,False,0,2025-10-29T00:00:00.000Z,2026-07-01T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10020,"Development of multipurpose sports ground, Gram Panchayat",Punjab,IN-PB,Ludhiana,Ludhiana (PC-34),Hon'ble MP — Ludhiana PC,Gramin Vikas Nigam,Sports,531000,591000,478000,80.9,-40,272,272,False,0,2025-06-05T00:00:00.000Z,2026-03-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,19,LOW
W-10021,"Installation of solar street lighting, Sector 7",Uttar Pradesh,IN-UP,Gorakhpur,Gorakhpur (PC-31),Hon'ble MP — Gorakhpur PC,Aarambh Engineering Board,Public Amenities,403000,466000,329000,70.6,-35,346,346,False,0,2025-09-17T00:00:00.000Z,2026-08-29T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,21,LOW
W-10022,"Installation of community RO water plant, Phase II",Uttar Pradesh,IN-UP,Varanasi,Varanasi (PC-40),Hon'ble MP — Varanasi PC,Kaushal Construction Division,Water & Sanitation,841000,916000,338000,36.9,-44,233,233,False,0,2025-08-06T00:00:00.000Z,2026-03-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,14,LOW
W-10023,"Miscellaneous local area development works, Sector 7",West Bengal,IN-WB,Murshidabad,Murshidabad (PC-2),Hon'ble MP — Murshidabad PC,Vikas Engineering Corp,Other,630000,637000,246000,38.6,0,277,277,False,0,2025-06-21T00:00:00.000Z,2026-03-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,12,LOW
W-10024,"Installation of public address and CCTV system, Gram Panchayat",Uttarakhand,IN-UT,Haridwar,Haridwar (PC-5),Hon'ble MP — Haridwar PC,Sankalp Rural Development Corp,Other,301000,359000,149000,41.5,-44,210,210,False,0,2026-01-05T00:00:00.000Z,2026-08-03T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10025,"Development of multipurpose community centre, Zone 3",Maharashtra,IN-MH,Pune,Pune (PC-33),Hon'ble MP — Pune PC,Aadhar Works Agency,Community Infrastructure,2065000,2260000,1450000,64.2,19,238,238,False,0,2026-01-23T00:00:00.000Z,2026-09-18T00:00:00.000Z,,In Progress,False,Compliance deviation,Compliance deviation,57,MEDIUM
W-10026,"Construction of common facility centre, Phase II",Gujarat,IN-GJ,Ahmedabad,Ahmedabad (PC-35),Hon'ble MP — Ahmedabad PC,Samruddhi Infra Board,Community Infrastructure,1727000,1928000,1582000,82.1,1,249,249,False,0,2025-06-16T00:00:00.000Z,2026-02-20T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,32,MEDIUM
W-10027,"Development of public park and pathways, Ward 4",Jharkhand,IN-JH,Dhanbad,Dhanbad (PC-33),Hon'ble MP — Dhanbad PC,Nirman Urban Works Agency,Public Amenities,559000,618000,295000,47.7,-14,361,361,False,0,2025-12-28T00:00:00.000Z,2026-12-24T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10028,"Development of multipurpose sports ground, Block B",Maharashtra,IN-MH,Aurangabad,Aurangabad (PC-19),Hon'ble MP — Aurangabad PC,Aarambh Engineering Board,Sports,828000,818000,501000,61.2,-17,326,326,False,0,2026-01-03T00:00:00.000Z,2026-11-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10029,"Blacktopping of village approach road, Ward 11",Uttar Pradesh,IN-UP,Prayagraj,Prayagraj (PC-31),Hon'ble MP — Prayagraj PC,Aarambh Engineering Board,Road Construction,1960000,2238000,1402000,62.6,2,229,229,False,0,2025-06-21T00:00:00.000Z,2026-02-05T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,15,LOW
W-10030,"Construction of CC road with side drains, Phase II",Tamil Nadu,IN-TN,Salem,Salem (PC-5),Hon'ble MP — Salem PC,Vikas Engineering Corp,Road Construction,2995000,3190000,2797000,87.7,45,218,280,True,62,2025-10-06T00:00:00.000Z,2026-05-12T00:00:00.000Z,,Delayed,False,Cost anomaly; Project delay,Cost anomaly,60,HIGH
W-10031,"Construction of additional classrooms at Govt. School, Sector 7",Madhya Pradesh,IN-MP,Indore,Indore (PC-12),Hon'ble MP — Indore PC,Vikas Engineering Corp,Education,489000,545000,495000,90.8,-39,328,328,False,0,2025-11-09T00:00:00.000Z,2026-10-03T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,25,LOW
W-10032,"Development of multipurpose community centre, Zone 3",Karnataka,IN-KA,Mysuru,Mysuru (PC-9),Hon'ble MP — Mysuru PC,Arth Development Board,Community Infrastructure,1507000,1834000,1372000,74.8,-3,211,235,True,24,2025-08-11T00:00:00.000Z,2026-03-10T00:00:00.000Z,,Stalled,False,Project delay; Compliance deviation,Project delay,53,MEDIUM
W-10033,"Boundary wall construction for school campus, Gram Panchayat",Gujarat,IN-GJ,Rajkot,Rajkot (PC-29),Hon'ble MP — Rajkot PC,Vikas Engineering Corp,Education,545000,657000,574000,87.4,-26,281,281,False,0,2025-08-08T00:00:00.000Z,2026-05-16T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,10,LOW
W-10034,"Construction of public toilet block, Phase II",Punjab,IN-PB,Jalandhar,Jalandhar (PC-16),Hon'ble MP — Jalandhar PC,Prerna Civil Works Unit,Public Amenities,459000,484000,294000,60.7,-33,282,282,False,0,2025-11-30T00:00:00.000Z,2026-09-08T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,20,LOW
W-10035,"Development of multipurpose sports ground, Ward 11",Odisha,IN-OR,Rourkela,Rourkela (PC-14),Hon'ble MP — Rourkela PC,Prerna Civil Works Unit,Sports,889000,935000,738000,78.9,-5,351,351,False,0,2025-09-11T00:00:00.000Z,2026-08-28T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10036,"Development of multipurpose community centre, Zone 3",Haryana,IN-HR,Gurugram,Gurugram (PC-32),Hon'ble MP — Gurugram PC,Gramin Vikas Nigam,Community Infrastructure,1392000,1687000,974000,57.7,-11,296,296,False,0,2025-05-19T00:00:00.000Z,2026-03-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,14,LOW
W-10037,"Installation of community RO water plant, Block B",Tamil Nadu,IN-TN,Salem,Salem (PC-32),Hon'ble MP — Salem PC,Nirman Urban Works Agency,Water & Sanitation,1404000,1424000,1026000,72.1,-14,336,396,True,60,2025-11-30T00:00:00.000Z,2026-11-01T00:00:00.000Z,,Stalled,True,Project delay; Potential duplicate work; Missing/invalid data; Compliance deviation,Potential duplicate work,52,MEDIUM
W-10038,"Construction of community health sub-centre, Block B",Karnataka,IN-KA,Tumakuru,Tumakuru (PC-35),Hon'ble MP — Tumakuru PC,Aadhar Works Agency,Health,1272000,1508000,1149000,76.2,4,300,300,False,0,2025-06-24T00:00:00.000Z,2026-04-20T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,28,LOW
W-10039,"Laying of piped water supply network, Phase II",Uttar Pradesh,IN-UP,Meerut,Meerut (PC-3),Hon'ble MP — Meerut PC,Kaushal Construction Division,Water & Sanitation,1047000,1113000,749000,67.3,-33,339,339,False,0,2025-12-28T00:00:00.000Z,2026-12-02T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10040,"Construction of indoor sports hall, Block B",Karnataka,IN-KA,Kalaburagi,Kalaburagi (PC-27),Hon'ble MP — Kalaburagi PC,Disha Municipal Works,Sports,1001000,989000,652000,65.9,1,212,291,True,79,2025-11-27T00:00:00.000Z,2026-06-27T00:00:00.000Z,,Stalled,False,Project delay,Project delay,55,MEDIUM
W-10041,"Development of village playground, Zone 3",Tamil Nadu,IN-TN,Tiruchirappalli,Tiruchirappalli (PC-12),Hon'ble MP — Tiruchirappalli PC,Aadhar Works Agency,Sports,860000,884000,615000,69.6,-10,338,338,False,0,2025-05-07T00:00:00.000Z,2026-04-10T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10042,"Development of public park and pathways, Ward 4",Uttar Pradesh,IN-UP,Lucknow,Lucknow (PC-38),Hon'ble MP — Lucknow PC,Gramin Vikas Nigam,Public Amenities,477000,580000,355000,61.2,-19,229,305,True,76,2025-09-27T00:00:00.000Z,2026-05-14T00:00:00.000Z,,Delayed,False,Project delay; Compliance deviation,Project delay,37,MEDIUM
W-10043,"Construction of ambulance shed and waiting hall, Phase II",Tamil Nadu,IN-TN,Tiruchirappalli,Tiruchirappalli (PC-26),Hon'ble MP — Tiruchirappalli PC,Sujal Water Works Cell,Health,992000,1013000,441000,43.5,-30,271,271,False,0,2025-05-25T00:00:00.000Z,2026-02-20T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,28,LOW
W-10044,"Installation of community RO water plant, Block B",Tamil Nadu,IN-TN,Tiruchirappalli,Tiruchirappalli (PC-10),Hon'ble MP — Tiruchirappalli PC,Samruddhi Infra Board,Water & Sanitation,1095000,1099000,429000,39,-33,265,265,False,0,2025-04-19T00:00:00.000Z,2026-01-09T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,22,LOW
W-10045,"Development of multipurpose sports ground, Block B",West Bengal,IN-WB,Darjeeling,Darjeeling (PC-19),Hon'ble MP — Darjeeling PC,Meridian Infra Works,Sports,651000,740000,571000,77.2,-24,344,344,False,0,2025-08-04T00:00:00.000Z,2026-07-14T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,12,LOW
W-10046,"Drainage and sanitation improvement works, Ward 11",Uttar Pradesh,IN-UP,Kanpur Nagar,Kanpur Nagar (PC-7),Hon'ble MP — Kanpur Nagar PC,Aadhar Works Agency,Water & Sanitation,1467000,1662000,1510000,90.9,1,214,214,False,0,2025-10-25T00:00:00.000Z,2026-05-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,16,LOW
W-10047,"Blacktopping of village approach road, Gram Panchayat",Karnataka,IN-KA,Bengaluru Urban,Bengaluru Urban (PC-29),Hon'ble MP — Bengaluru Urban PC,Unnati Infra Solutions,Road Construction,1671000,2028000,964000,47.5,-8,350,350,False,0,2025-10-09T00:00:00.000Z,2026-09-24T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,11,LOW
W-10048,"Provision of mobility van for local body, Zone 3",Uttar Pradesh,IN-UP,Gorakhpur,Gorakhpur (PC-32),Hon'ble MP — Gorakhpur PC,Kaushal Construction Division,Other,672000,672000,283000,42.1,5,353,353,False,0,2025-06-03T00:00:00.000Z,2026-05-22T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,16,LOW
W-10049,"Provision of smart-classroom and furniture setup, Zone 3",Maharashtra,IN-MH,Nashik,Nashik (PC-13),Hon'ble MP — Nashik PC,Nirman Urban Works Agency,Education,486000,494000,338000,68.4,-44,305,305,False,0,2025-09-02T00:00:00.000Z,2026-07-04T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,19,LOW
W-10050,"Development of maternal care wing at CHC, Block B",Maharashtra,IN-MH,Nashik,Nashik (PC-19),Hon'ble MP — Nashik PC,Meridian Infra Works,Health,810000,862000,450000,52.2,-41,336,336,False,0,2025-04-14T00:00:00.000Z,2026-03-16T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10051,"Development of public park and pathways, Zone 3",Andhra Pradesh,IN-AP,Guntur,Guntur (PC-4),Hon'ble MP — Guntur PC,Aarambh Engineering Board,Public Amenities,471000,559000,303000,54.2,-22,238,238,False,0,2025-10-29T00:00:00.000Z,2026-06-24T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,8,LOW
W-10052,"Development of public park and pathways, Zone 3",Kerala,IN-KL,Thrissur,Thrissur (PC-23),Hon'ble MP — Thrissur PC,Meridian Infra Works,Public Amenities,438000,445000,242000,54.4,-38,267,267,False,0,2025-12-21T00:00:00.000Z,2026-09-14T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,12,LOW
W-10053,"Development of village playground, New Colony",Uttar Pradesh,IN-UP,Lucknow,Lucknow (PC-29),Hon'ble MP — Lucknow PC,Utkarsh Rural Agency,Sports,498000,546000,508000,93,-44,235,235,False,0,2025-06-05T00:00:00.000Z,2026-01-26T00:00:00.000Z,2026-01-26T00:00:00.000Z,Completed,False,Missing/invalid data,Missing/invalid data,15,LOW
W-10054,"Construction of library block at higher secondary school, Gram Panchayat",West Bengal,IN-WB,Darjeeling,Darjeeling (PC-29),Hon'ble MP — Darjeeling PC,Sankalp Rural Development Corp,Education,543000,537000,249000,46.4,-40,307,307,False,0,2025-04-10T00:00:00.000Z,2026-02-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10055,"Construction of crematorium shed and pathway, Ward 11",Maharashtra,IN-MH,Thane,Thane (PC-37),Hon'ble MP — Thane PC,Meridian Infra Works,Other,361000,434000,197000,45.4,-32,265,265,False,0,2025-09-11T00:00:00.000Z,2026-06-03T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,28,LOW
W-10056,"Development of village playground, Block B",West Bengal,IN-WB,Murshidabad,Murshidabad (PC-9),Hon'ble MP — Murshidabad PC,Aadhar Works Agency,Sports,901000,917000,744000,81.1,-6,325,325,False,0,2025-07-16T00:00:00.000Z,2026-06-06T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,44,MEDIUM
W-10057,"Development of multipurpose sports ground, New Colony",Uttar Pradesh,IN-UP,Prayagraj,Prayagraj (PC-32),Hon'ble MP — Prayagraj PC,Sahyog Development Trust,Sports,984000,977000,509000,52.1,0,280,280,False,0,2025-10-02T00:00:00.000Z,2026-07-09T00:00:00.000Z,,In Progress,False,Missing/invalid data,Missing/invalid data,12,LOW
W-10058,"Development of public park and pathways, Block B",Rajasthan,IN-RJ,Kota,Kota (PC-29),Hon'ble MP — Kota PC,Sahyog Development Trust,Public Amenities,709000,709000,339000,47.8,-2,258,258,False,0,2025-04-04T00:00:00.000Z,2025-12-18T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,24,LOW
W-10059,"Construction of CC road with side drains, Phase II",Uttar Pradesh,IN-UP,Kanpur Nagar,Kanpur Nagar (PC-8),Hon'ble MP — Kanpur Nagar PC,Sujal Water Works Cell,Road Construction,1801000,1853000,1325000,71.5,-16,334,392,True,58,2025-11-09T00:00:00.000Z,2026-10-09T00:00:00.000Z,,Delayed,False,Project delay,Project delay,43,MEDIUM
W-10060,"Construction of anganwadi and community shelter, Block B",Telangana,IN-TG,Hyderabad,Hyderabad (PC-17),Hon'ble MP — Hyderabad PC,Setu Public Works Division,Community Infrastructure,1664000,1951000,1012000,51.9,3,326,326,False,0,2026-01-08T00:00:00.000Z,2026-11-30T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,16,LOW
W-10061,"Construction of RCC culvert and link road, Ward 11",Uttar Pradesh,IN-UP,Gorakhpur,Gorakhpur (PC-38),Hon'ble MP — Gorakhpur PC,Aarambh Engineering Board,Road Construction,1450000,1711000,923000,53.9,-22,229,229,False,0,2025-09-10T00:00:00.000Z,2026-04-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,18,LOW
W-10062,"Laying of piped water supply network, Phase II",Andhra Pradesh,IN-AP,Tirupati,Tirupati (PC-9),Hon'ble MP — Tirupati PC,Vikas Engineering Corp,Water & Sanitation,1045000,1185000,565000,47.7,-28,281,281,False,0,2025-05-22T00:00:00.000Z,2026-02-27T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,9,LOW
W-10063,"Blacktopping of village approach road, Phase II",Uttar Pradesh,IN-UP,Meerut,Meerut (PC-29),Hon'ble MP — Meerut PC,Aarambh Engineering Board,Road Construction,1714000,1926000,1689000,87.7,-12,329,329,False,0,2025-06-18T00:00:00.000Z,2026-05-13T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10064,"Construction of ambulance shed and waiting hall, Ward 11",Kerala,IN-KL,Ernakulam,Ernakulam (PC-26),Hon'ble MP — Ernakulam PC,Sankalp Rural Development Corp,Health,1499000,1549000,1600000,103.3,7,353,353,False,0,2025-04-13T00:00:00.000Z,2026-04-01T00:00:00.000Z,2026-04-01T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,34,MEDIUM
W-10065,"Miscellaneous local area development works, New Colony",Madhya Pradesh,IN-MP,Ujjain,Ujjain (PC-7),Hon'ble MP — Ujjain PC,Aadhar Works Agency,Other,535000,561000,202000,36,-12,283,283,False,0,2025-06-30T00:00:00.000Z,2026-04-09T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,28,LOW
W-10066,"Construction of bus shelter and waiting shed, New Colony",Delhi,IN-DL,New Delhi,New Delhi (PC-15),Hon'ble MP — New Delhi PC,Vikas Engineering Corp,Public Amenities,574000,625000,506000,81,-13,219,219,False,0,2026-01-10T00:00:00.000Z,2026-08-17T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,23,LOW
W-10067,"Boundary wall construction for school campus, Phase II",Karnataka,IN-KA,Tumakuru,Tumakuru (PC-40),Hon'ble MP — Tumakuru PC,Sahyog Development Trust,Education,832000,920000,386000,42,3,330,330,False,0,2025-06-15T00:00:00.000Z,2026-05-11T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,25,LOW
W-10068,"Construction of common facility centre, New Colony",Telangana,IN-TG,Warangal,Warangal (PC-4),Hon'ble MP — Warangal PC,Aadhar Works Agency,Community Infrastructure,1210000,1445000,660000,45.7,-24,261,261,False,0,2025-07-07T00:00:00.000Z,2026-03-25T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,21,LOW
W-10069,"Blacktopping of village approach road, Zone 3",Karnataka,IN-KA,Tumakuru,Tumakuru (PC-24),Hon'ble MP — Tumakuru PC,Sujal Water Works Cell,Road Construction,2157000,2180000,901000,41.3,-1,357,357,False,0,2026-01-17T00:00:00.000Z,2027-01-09T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10070,"Development of village playground, New Colony",Delhi,IN-DL,North Delhi,North Delhi (PC-16),Hon'ble MP — North Delhi PC,Sujal Water Works Cell,Sports,618000,665000,464000,69.8,-32,226,226,False,0,2025-09-12T00:00:00.000Z,2026-04-26T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,13,LOW
W-10071,"Construction of crematorium shed and pathway, Sector 7",Uttar Pradesh,IN-UP,Prayagraj,Prayagraj (PC-8),Hon'ble MP — Prayagraj PC,Sankalp Rural Development Corp,Other,493000,578000,541000,93.6,-10,358,358,False,0,2025-10-05T00:00:00.000Z,2026-09-28T00:00:00.000Z,2026-09-28T00:00:00.000Z,Completed,False,Within expected pattern,Within expected pattern,12,LOW
W-10072,"Construction of overhead water tank, Zone 3",Uttar Pradesh,IN-UP,Meerut,Meerut (PC-9),Hon'ble MP — Meerut PC,Nabh Infra Consortium,Water & Sanitation,1136000,1190000,1034000,86.9,-28,275,275,False,0,2025-10-20T00:00:00.000Z,2026-07-22T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,17,LOW
W-10073,"Drainage and sanitation improvement works, New Colony",Uttarakhand,IN-UT,Haridwar,Haridwar (PC-38),Hon'ble MP — Haridwar PC,Nabh Infra Consortium,Water & Sanitation,1730000,1796000,996000,55.5,9,251,251,False,0,2025-12-22T00:00:00.000Z,2026-08-30T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,33,MEDIUM
W-10074,"Installation of public address and CCTV system, Phase II",Kerala,IN-KL,Kozhikode,Kozhikode (PC-14),Hon'ble MP — Kozhikode PC,Vikas Engineering Corp,Other,627000,697000,524000,75.2,9,318,358,True,40,2025-12-20T00:00:00.000Z,2026-11-03T00:00:00.000Z,,Stalled,False,Project delay; Compliance deviation,Project delay,43,MEDIUM
W-10075,"Construction of bus shelter and waiting shed, Block B",Uttar Pradesh,IN-UP,Varanasi,Varanasi (PC-28),Hon'ble MP — Varanasi PC,Vikas Engineering Corp,Public Amenities,470000,549000,269000,49,-24,288,288,False,0,2025-07-17T00:00:00.000Z,2026-05-01T00:00:00.000Z,,In Progress,False,Within expected pattern,Within expected pattern,26,LOW
